date,platform,category,sku,units_sold,revenue,yoy,mom,inventory_index,forecast_units,replenishment,recommendation,anomaly_note
2026-01-10,Tmall,手机配件,PD快充头20W,1280,102400,0.18,0.06,0.72,1500,300,提高磁吸套装投放,春节前短视频导流拉高转化
2026-01-10,JD,手机配件,PD快充头20W,960,72960,0.11,0.04,0.68,1100,220,维持京东仓补货,大促后回落正常
2026-01-10,Douyin,耳机,主动降噪蓝牙耳机Pro,1450,391500,0.32,0.14,0.51,1800,500,追加达人带货样品,直播场观波动造成销量异常峰值
2026-01-10,Pinduoduo,智能家居,智能插座双口版,2100,147000,0.25,0.09,0.83,1900,120,控制补货节奏,低价活动带来高转化但毛利承压
2026-02-10,Tmall,手机配件,PD快充头20W,1510,120800,0.24,0.18,0.61,1720,360,上新联名礼盒,连带转化带动客单提升
2026-02-10,JD,平板周边,磁吸键盘Air,820,287000,0.19,0.11,0.57,970,240,重点保障华北仓,企业采购询价增加
2026-02-10,Douyin,耳机,主动降噪蓝牙耳机Pro,1690,456300,0.41,0.17,0.46,2050,620,补充爆款颜色库存,达人矩阵扩散明显
2026-02-10,Pinduoduo,智能家居,智能插座双口版,1880,131600,0.13,-0.03,0.88,1750,80,减少低效渠道库存,活动退坡后销量回落
2026-03-10,Tmall,平板周边,磁吸键盘Air,980,343000,0.28,0.15,0.49,1200,320,优化高客单详情页,商详视频提升咨询转化
2026-03-10,JD,手机配件,PD快充头20W,1340,107200,0.16,-0.01,0.79,1400,160,维持稳定供货,价格战阶段不建议加大促销
2026-03-10,Douyin,智能穿戴,运动手表Lite,1220,317200,0.35,0.12,0.54,1480,380,重点备货华东,女性用户占比提升明显
2026-03-10,Pinduoduo,智能家居,智能插座双口版,1750,122500,0.09,-0.06,0.93,1600,0,暂停补货消化库存,库存指数偏高需降速清库
